user_profile,project_id,project_title,user_techs,project_techs,features,enhanced_score,label
React 초급자,1,React 기반 쇼핑몰 개발,"['html', 'javascript', 'react']","['express', 'mongodb', 'node.js', 'react', 'typescript']",[0.14285714285714285],0.1758,1
React 초급자,2,Vue3 + Nuxt 포트폴리오 사이트,"['html', 'javascript', 'react']","['nuxt.js', 'tailwind css', 'typescript', 'vue.js']",[0.0],0.03,0
React 초급자,3,Django REST API 서버 구축,"['html', 'javascript', 'react']","['django', 'docker', 'postgresql', 'python', 'redis']",[0.0],0.03,0
React 초급자,4,Spring Boot 마이크로서비스,"['html', 'javascript', 'react']","['docker', 'java', 'kubernetes', 'postgresql', 'spring boot']",[0.0],0.03,0
React 초급자,5,Node.js 실시간 채팅 앱,"['html', 'javascript', 'react']","['express', 'mongodb', 'node.js', 'redis', 'socket.io']",[0.0],0.03,0
React 초급자,6,React Native 투두 앱,"['html', 'javascript', 'react']","['expo', 'firebase', 'react native', 'typescript']",[0.0],0.03,0
React 초급자,7,Flutter 전자상거래 앱,"['html', 'javascript', 'react']","['dart', 'firebase', 'flutter', 'sqlite']",[0.0],0.03,0
React 초급자,8,FastAPI 비동기 웹서버,"['html', 'javascript', 'react']","['fastapi', 'postgresql', 'python', 'redis', 'sqlalchemy']",[0.0],0.03,0
React 초급자,9,Angular 관리자 대시보드,"['html', 'javascript', 'react']","['angular', 'chart.js', 'material ui', 'rxjs', 'typescript']",[0.0],0.03,0
React 초급자,10,SvelteKit 블로그 플랫폼,"['html', 'javascript', 'react']","['prisma', 'sqlite', 'svelte', 'sveltekit', 'typescript']",[0.0],0.03,0
React 초급자,11,Go 마이크로서비스 API,"['html', 'javascript', 'react']","['docker', 'gin', 'go', 'grpc', 'postgresql']",[0.0],0.03,0
React 초급자,12,.NET Core 웹 애플리케이션,"['html', 'javascript', 'react']","['.net core', 'azure', 'c#', 'entity framework', 'sql server']",[0.0],0.03,0
React 초급자,13,Laravel CMS 시스템,"['html', 'javascript', 'react']","['blade', 'eloquent orm', 'laravel', 'mysql', 'php']",[0.0],0.03,0
React 초급자,14,Rust 고성능 웹서버,"['html', 'javascript', 'react']","['actix web', 'diesel', 'postgresql', 'redis', 'rust']",[0.0],0.03,0
React 초급자,15,Unity 2D 인디게임,"['html', 'javascript', 'react']","['blender', 'c#', 'unity', 'visual scripting']",[0.0],0.03,0
